QueryText,KccAns
weather report,today there is no chance of rainfall in your area
watermelon sowing time in summer,watermelon sowing time in summer : december - january
post emergence weed management in ground nut,post emergence weed management in ground nut : recommended to spray quizolphop p ethyl 400 ml per acre
CITRUS NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY AGROMIN MAX 3 GR/1 LITRE OF WATER
weather report,no rain your area cloudy weather occur
green gram market,"16/01/2017		Medium	4700	4800"
RED GRAM MARKET INFORMATION,"RED GRAM MARKET INFORMATION : Kadiri
MINIMUM PRICE - 4500/- Rs/ QUINTAL  
MAXIMUM PRICE - 4500/- Rs/ QUINTAL"
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
WEATHER REPORT,Clear
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
chilli  white flies & powdery mildew management,"RECOMMENDED TO SPRAY THIAMETHOXAM 40 GRAMS /200 LITERS OF WATER / ACRE   
RECOMMENDED TO SPRAY DINOCAP  200 ML /200 LITERS OF WATER / ACRE"
WEATHER REPORT,The rain is not likely to take place in your area
ajwain market information,ajwain market information : minimum 5212 - maximum 15216
WATERMELON VARIETIES,"WATERMELON VARIETIES : ASAHI YAMATA, SUGAR BABY, ARKA JYOTHI, ARKA MAINK, DURGAPUR KESAR, DURGAPUR META ARE SUITABLE AND Informed that watermelon can be sown from Dec 2nd week to Jan first week. Also Advised to follow 2-2. 5 m x 30-50 cm spacing with irrigation canal of 60cm."
sucking pests management in chilli,sucking pests management in chilli: RECOMMENDED TO SPRAY DIFENTHIURON   300 GRAMS/200 LITRES OF WATER /ACRE
CITRUS LEAFSPOT,CITRUS LEAFSPOT: RECOMMENDED TO SPRAY CARBENDAZIM 1 GRAM PER LITRE WATER
drum stick cultural practices,"drum stick cultural practices : pkm-1 , jaafna"
green gram sucking pest management,RECOMMENDED TO SPRAY MONOCROTOPHOS 400 ML /200 LITERS OF WATER /ACRE
weather report,weather report :   today there is no chance of rain fall in your area
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
",NUTRIENT MANAGEMENT IN .CHILLI",AGROMIN MAX 1KG/ACRE IN 200 LT WATER
citrus sucking pest management,citrus sucking pest management : RECOMMENDED TO SPRAY IMIDACLOPRID 60 ML /200 LITRES OF WATER / ACRE
CHILLI APHIDS,CHILLI APHIDS: RECOMMENDED TO SPRAY ACETAMIPRIDE 40 GRAM PER ACRE
weather report,today there is no chance of rainfall in your area
paddy blast,RECOMMENDED TO SPRAT   HEXACONAZOLE+ZINEB   500 GRAMS / 200 LITRES OF WATER /ACRE
COTTON MARKET INFORMATION,"COTTON MARKET INFORMATION 
MINIMUM PRICE - 4800/- Rs/ QUINTAL  
MAXIMUM PRICE - 5000/- Rs/ QUINTAL"
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
chilli fertilizer management :,chilli fertilizer management :recommended 30kg urea
RIDGE GOURD FRUITFLY,RIDGE GOURD FRUITFLY : RECOMMENDED TO SPRAY MALATHION 400 ml per acre
chilly virus diseases management,"Informed that viral disease has no chemical control. Suggested to apply carbofuran or fipronil granules 6-8kg per acre to control vectors like aphids, thrips etc that transmit the disease. Spray dimethoate @ 2ml/l or acephate @ 1.5g/l of water to control the vector"
WATER MELON BORAN DEFICIENCY,RECOMMENDED TO SPRAY BORAX 2 GRAM / LITER WATER
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
weather report,no rain your area cloudy weather occur
Groundnut post emergency  weed management,RECOMMENDED TO SPRAY IMAZITAPYR  300- 400 ML PER ACRE
CHILLI NUTRIENT MANAGEMENT,CHILLI NUTRIENT MANAGEMENT: RECOMMENDED TO APPLY UREA 50 KILO AND POTASH 25 KILO PER ACRE
BLACK GRAM WHITE FLY MANAGEMENT,BLACK GRAM WHITE FLY MANAGEMENT : RECOMMENDED FOR SPRAY FIPRONIL 2 ML /1 LITER OF WATER
CHILI TRIPS,RECOMMENDED SPRAY DIMETHOATE(ROGAR   ROGARIN)  400ML /ACRE IN 200 LITER WATER
mosambi fertilizer management,"recommended to apply nitrozen 1.6 kg , ssp-1.5 kg & 900 gm/ ha ( drip irrigation )"
BLACKGRAM ROT,BLACKGRAM ROT: RECOMMENDED TO SOIL DRENCH COPPER OXYCHLORIDE 3 GRAM PER LITRE WATER
WEATHER REPORT:,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
UPWARD CURLING IN CHILLI,RECOMMENDED TO SPRAY DIFENTHIURON   300 GRAMS/200 LITRES OF WATER /ACRE
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
chilli powdery mildew,chilli powdery mildew; RECOMMENDED TO SPRAY  WATER SOLUBLE SULPHUR 600 GRAMS/200 LITRES OF WATER / ACRE
ANANTHAPUR DIST. HORTICULTURE OFFICER NUMBER,"RECOMMENDED FOR CONTACT NUMBERS 
ANANTHAPUR-1 Ananthapuramu Ch. S.Satyanarayana	7995086790
ANANTHAPUR-2	Penukonda	B.V. Ramana	7995086791
DDH-ANANTHAPUR	B.A.Subba Reyudu	7995086792"
papaya sucking pest management,papaya sucking pest management : RECOMMENDED TO SPRAY  FIPRONIL  400 ML/ 200 LITRES OF WATER /ACRE
chilly bacterial leaf spot management,"chilly bacterial leaf spot management :  
 
RECOMMENDED FOR 30 gr COPPeR OXY CHLORIDE AND 1 gr STREPTOCYCLIN  IN 10 ltr of WATER"
market information,"guntur
64.9	SANNALU	Tonnes	4000	10500	8200	Rs./Quintal
''"
WEATHER REPORT:,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
powdery mildew in chilli,RECOMMENDED TO SPRAY DINOCAP( 400 ML PER ACRE
weather report,A blend of sun and clouds
weather report:,weather report:no rain your area cloudy weather occur
WEATHER REPORT,today there is no chance of rain fall in your area
weather report,Sunny to partly cloudy
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
whitefly in black gram,Suggested to spray triazophos @ 2 ml/l litter water
dry chilli market information,"dry  chilli market information
minimum price 9427/quintal;maximum price 9900/quintal"
PADDY BROWN SPOT  DAMAGE,RECOMMENDED TO SPRAY PROFICONAZOLE 200 MILLI LITER/ACRE
weather report,Sunny to partly cloudy
ridge gourd leaf spot,RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS/  200 LITRES OF WATER /ACRE
CHILLI WHITE FLY MANAGEMENT,RECOMMENDED TO SPRAY ACETAMIPRID 80 GRAM/ ACRE
weather report,Mostly cloudy in your area
CHILLI THRIPS CONTROL,RECOMMENDED TO SPRAY  FIPRONIL  400 ML/ 200 LITRES OF WATER /ACRE
weather report,no rain your area cloudy weather occur
PADDY STEM ROT CONTROL,RECOMMENDED TO SPRAY PROPICONAZOLE    200 ML / 200 LITRES OF WATER /ACRE
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
weather report,today there is no chance of rain fall in your area
weather report,today there is no chance of rain fall in your area
ground nut nutrient management,recommended to spray 13-0-45 one kg per acre
CHILLI ROOT ROT MANAGEMENT,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS / 1 LITER OF WATER
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
WEATHER REPORT:,WEATHER REPORT: NO RAIN AND CLOUDY WEATHER
fruit fly in water melon,RECOMMENDED TO SPRAY MALATHION   400 ML /200 LITRES OF WATER / ACRE
weather report,
WEATHER REPORT,Clouds and sun
weather report,today there is no chance of rainfall in your area
weather report,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
powdery mildew on chillies,RECOMMENDED TO SPRAY   TEBUCONAZOLE + TRIFLOXYSTROBIN  160 GRAMS /200 LITRES OF WATER /ACRE
POWDERY MILDEW MANAGEMENT,POWDERY MILDEW MANAGEMENT : RECOMMENDED TO SPRAY DINOCAP  200 ML /200 LITERS OF WATER / ACRE
chilly powdery mildew management,RECOMMENDED TO SPRAY MICLOBEUTANIL 80 GRAMS/200 LITERS OF WATER / ACRE
CHILLI NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY 13-0-45 ONE KG PER ACRE
BLACK GRAM GROWTH,RECOMMENDED TO SPRAY MULTI-K 5 GRAM / LITER WATER
weather report,today there is no chance of rainfall in your area
CHILLI ROOT ROT CONTROL,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER
stem borer in maize,RECOMMENDED TO APPLY CARTAP HYDROCHLORIDE  4G  GRANULES  8-10 KG / ACRE
DRY CHILLI MARKET INFORMATION,"DRY CHILLI     MARKET INFORMATION  : 
MINIMUM PRICE -5000 /- Rs/ QUINTAL  
MAXIMUM PRICE -11200 /- Rs/ QUINTAL"
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEED MANAGEMENT IN WATER MELON,RECOMMENDED TO SPRAY PROPAQUIZAFOP  250-300 ML/200 LITRES OF WATER /ACRE
COTTON MARKET INFORMATION,COTTON MARKET  ADONI MIN:4411 MAX;5829 MODAL:5313 RS/QUINTAL
WEATHER REPORT,The rain is not likely to take place in your area
MANGO SUCKING PEST MANAGEMENT,MANGO SUCKING PEST MANAGEMENT : RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITRES OF WATER / ACRE
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPORT,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
weather report,no rain your area cloudy weather occur
leaf spots in okra,RECOMMENDED TO SPRAY AZOXYSTROBIN  150 ML /200 LITRES OF WATER /ACRE
MUSHROOM CULTURE,"MUSHROOM CULTURE	9866706545 pramila  Madam, 040-24015011-462"
WEATHER REPORT,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
PADDY NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY NPK 19-19-19 MIXTURE  5 GRAMS/1 LITRE OF WATER
MAIZE STEM BORER MANAGEMENT,RECOMMENDED TO SPRAY  CARBOFURAN 3G 10 KGS /ACRE
WEATHER REPORT,The rain is not likely to take place in your area
CHILLI WHITE FLY  AND FLOWER DROPPING MANAGEMENT,RECOMMENDED TO SPRAY THIOMETHOXOME 40 GRAMS PER ACRE AND Naphthalene  Acetic Acid   4.5 ml/20 liter
weather report,no rain your area cloudy weather occur
borer in french bean,recommended to apply carbofuron 6 kg /acre
TOMATO PLANTING TIME,TOMATO PLANTING TIME  : JANUARY TO FEBRUAY
weather report,Mostly sunny and nice
chilli fusarium wilt management,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER
",NUTRIENT MANAGEMENT IN .BANANA",RECOMMENDED TO SPRAY POTASSIUM NITRATE (13-0-45) 1KG/ACRE IN 200 LT WATER
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
weather report,today there is no chance of rain fall in your area
nutrient management in chilli,recommended to spray potassium nitrate 5 grams per litre water
WEATHER REPORT,WEATHER REPORT : today there is no chance of rainfall in your area
TOMATO FLOWER DROP MANAGEMENT,TOMATO FLOWER DROP MANAGEMENT : RECOMMENDED TO SPRAY PLANOFIX 50 ML PER ACRE
weather report,no rain your area cloudy weather occur
GROUNDNUT NUTRIENT MANAGEMENT,GROUNDNUT NUTRIENT MANAGEMENT: RECOMMENDED TO APPLY UREA 10 KILO PER ACRE
weather report,weather report : hazy sun
boran deficency in musk melon:,boran deficency in musk melon:recommended boron 1.5grm/liter water
chesnut leaf spot,RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS/  200 LITERS OF WATER /ACRE
MAIZE FERTILIZER MANAGEMENT,"RECOMMENDED TO APPLY DAP- 50 KG , UREA 40 KG & MOP- 30 KG /ACRE"
mango flower drop management,Recommended to spray   Planofixâ€™ (Napthyl Acetic Acid â€“ â€˜NAAâ€™) 4.5 ML / 20  lit of water
PAPAYA  LEAF EATING CATER PILLER DAMAGEDAMAGE,RECOMMENDED TO SPRAY MONOCHROTOPHOS 1.6 MILLI LITER / LITER WATER
midge fly in chilly,recommened to trizophos 2ml /lit of water
WEATHER REPORT,NO RAINS ARE THERE IN YOUR AREA
GOVERNMENT SCHEMES,RECOMMENDED TO CONTACT VETERINARY DOCTOR
WEATHER REPORT,Hazy sunshine
PADDY LEAF FOLDER DAMAGE,RECOMMENDED TO SPRAY  CARTAF HYDRO CHLORIDE  400 GRAM / ACRE
fertilizer management in ash gourd,"RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS/1 LITRE OF WATER 
RECOMMENDED TO SPRAY AGROMIN MAX 3 GR/1 LITRE OF WATER"
MARKET INFORMATION  OF BLACK GRAM,RECOMMENDED TO MARKET INFORMATION  OF BLACK GRAM MINIMUM PRICE:6300/- MAXIMUM PRICE:6400/-PER QUINTAL
management of tomato fruit borer,RECOMMENDED TO SPRAY PROFENOFOS 400 ML/200 LITRES OF WATER /  ACRE
weather report,weather report :THERE IS NO CHANCE OF RAIN IN YOUR PLACE
POWDERY MILDEW MANAGEMENT,POWDERY MILDEW MANAGEMENT : RECOMMENDED TO SPRAY DINOCAP  200 ML OR MYCLOBUTANIL 100 GRAMS/200 LITERS OF WATER / ACRE
weather report,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
chilli fruit rot,RECOMMENDED TO SPRAY  DIFENOCONAZOLE   100 ML /200 LITRES OF WATER /ACRE
CHILLI FRUIT ROT MANAGEMENT,RECOMMENDED TO SPRAY  PROPICONAZOLE 1 ML/LT WATER
ROOT ROT MANAGEMENT,RECOMMENDED  TO DRENCH  COPPER OXY CHLORIDE  3 GRAMS / 1 LITRE OF WATER
WEATHER REPORT,TODAY A RAIN NOT  IS LIKELY TO TAKE PLACE IN YOUR AREA
PADDY FERTILIZER MANAGEMENT,1 BAG DAP 32 KG UREA 12 KG POTASH    ?? ????? DAP 32 ?????? ????? 12 ?????? ??????
weather report:,weather report: no rain your area cloudy weather occur
weather report,NO RAINS ARE THERE IN YOUR AREA
mite managemet,RECOMMENDED TO SPRAY DICOFOL 1 LITER /200 LITERS OF WATER /ACRE
zinc deficiency in paddy,recommended to spray of zinc sulphate 2 grams per litre
chilli powdery mildew coontrol,RECOMMENDED TO SPRAY DINOCAP(KERATHANE) 400 ML PER ACRE
WEATHER REPORT,Nice with brilliant sunshine
MANGO FLOWER MANAGEMENT,RECOMMENDED TO SPRAY 13-0-45 ONE KG PER ACRE
Paddy blast management,RECOMMENDED TO SPRAY TRICYCLAZOLE + MANCOZEB  400 GRAMS/200 LITRES OF WATER /ACRE
TOMATO LEAF MINER:,TOMATO LEAF MINER:RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITRES OF WATER /ACRE
weather report,no rain your area cloudy weather occur
TIKKA LEAF SPOT   GROUND NUT ;;,TIKKA LEAF SPOT   GROUND NUT ;; MANCOZEB  400 GRAMS +200 GRAMS CARBENDAZIM
MANGO NUTRIENT MANAGEMENT,RECOMMENDED  TO SPRAY 13-0-45 ONE KG PER ACRE
weather report,no rain your area cloudy weather occur
virus in chillies,RECOMMENDED TO SPRAY  FIPRONIL  400 ML/ 200 LITRES OF WATER /ACRE
market price for black grams,market price for black grams per quintal was around 8800 to 9800 rupees
CHILLY FRUIT BORER MANAGEMENT,RECOMMENDED TO SPRAY PROFENOFOS 400 ML/200 LITRES OF WATER /  ACRE
WEATHER REPORT,THE RAIN IS NOT LIKELY TO TAKE PLAC IN YOUR AREA
WEATHER REPORT,THE RAIN IS NOT LIKELY TO TAKE PLACE IN YOUR AREA
POWDERYMILDEW IN CHILLY,POWDERYMILDEW IN CHILLY;WETTABLE 600GR/ACER
fertilizer management in ground nut,"recommended 200 kg zypsum per acer
RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITRES OF WATER / ACRE"
chili wilt,RECOMMENDED TO SPRAY  DIFENOCONAZOLE   100 ML /200 LITRES OF WATER /ACRE
WEATHER REPORT,WEATHER REPORT: TODAY RAIN IS NOT OCCUR IN YOUR AREA
stem borer  in paddy,RECOMMENDED TO APPLY CARBOFURAN 3 G  GRANULES  8-10 KG /ACRE
weather report,no rain your area cloudy weather occur
varieties of banana,"karpura chekkara keli,bhontha,grandnine"
weather report,no rain your area cloudy weather occur
BLACK GRAM LEAF EATING CATERPILLAR,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
weather report,mostly cloudy some rain
weather report,no rain your area cloudy weather occur
varieties of green grams,advised to sow LGG-460 or LGG-407 varieties
chilli powdery mildew control,RECOMMENDED TO SPRAY   TEBUCONAZOLE + TRIFLOXYSTROBIN  160 GRAMS /200 LITRES OF WATER /ACRE
water melon  nutrient management,recommended to  spray potassium nitrate 5 grams/litre water
WEATHER REPORT,TODAY A RAIN NOT  IS LIKELY TO TAKE PLACE IN YOUR AREA
watermelon sowing time,watermelon sowing time;january to february
chilli fruit borer control,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS /200 LITRES OF WATER / ACRE
vaRIETIES OF GREEN GRAM,"vaRIETIES OF GREEN GRAM: LGG 407, LGG 460, LGG 450, LGG 410"
white fly in chilli,RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITERS OF WATER / ACRE
weather report,weather report:today rain is not likely to occur in your area
chilli growth management,recommended to spray multi-k 5gm / lit of sowing
CUCUMBER SEEDS AVAILABILTY,CONTACT YOUR HORTICULTURE OFFICER
CHILLI WHITE FLY MANAGEMENT,RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITRES OF WATER / ACRE
chilli fruit rot:,chilli fruit rot:RECOMMENDED TO SPRAY PROPICONAZOLE    200 ML / 200 LITRES OF WATER /ACRE
PADDY LEAF FOLDER,RECOMMENDED TO SPRAY CARTAP HYDROCHLORIDE 400 GRAMS/ 200 LITRES OF WATER / ACRE
midge damage on chillies,RECOMMENDED TO SPRAY TRIAZOPHOS @ 300 ML PER ACRE
weather report,today there is no chance of rainfall in your area
weather report,NO RAINS ARE THERE IN YOUR AREA
PAPAYA SUCKING PEST,RECOMMENDED TO SPRAY FIPRONIL 400 ML /ACRE
weather report,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
weather report,NO RAINS ARE THERE IN YOUR AREA
cotton market information,"cotton market information : 4361 - 5611	/-Rs/qtl"
CITRUS NUTRIENT DEFICIENCY MANAGEMENT,RECOMMENDED TO SPRAY 19-19-19 KG/ACRE IN 200 LITER WATER
weather report,no rain your area cloudy weather occur
SUCKING PEST MANAGEMENT:,"SUCKING PEST MANAGEMENT:RECOMMENDED TO SPRAY DIMETHOATE  2 ML / 
1 LITER OF WATER"
weather report:,weather report: no rain your area cloudy weather occur
BRINJAL SHOOT AND FRUIT BORER MANAGEMENT,BRINJAL SHOOT AND FRUIT BORER MANAGEMENT : RECOMMENDED TO SPRAY SPINOSAD 75 ML/200 LITRES OF WATER / ACRE
management of citrus leaf curl,recommended to spray diemithoate 2 millilitres per litre water
CHILLY SUCKING PEST MANAGEMENT,CHILLY SUCKING PEST MANAGEMENT : RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  /200 LITRES OF WATER /ACRE
BENGAL GRAM MAGNESIUN DEFICIENCY MANAGEMENT,BENGAL GRAM MAGNESIUN DEFICIENCY MANAGEMENT : RECOMMENDED FOR SPRAY MAGNESIUM SULPHATE 10 GRAMS/ 1 LITER OF ATER
weather report,weather report:today rain is not likely to occur in your area
weather report:,weather report:THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
mango flower drop management,RECOMMENDED TO SPRAY NAPTHALENE ACITIC ACID (PLANO FIX ) 50 ML/ 200 LITERS OF WATER /ACRE
chilli market information,chilli market information  :5000 - 11300/-Rs/qtl
weather report,weather report:today rain is not likely to occur in your area
paddy hispa management,recommended to spray monochrotophos 1.6 milli liter / liter water
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
ground nut micro nutrient deficiency,Recommended to spray   multi-k ( 13-0-45 ) 5gm   AND  MICRO NUTRIENT MIXTURE 5gm / lit of water
lily flowers plants,floriculture research station 040â€“24011649
BLACKGRAM MARKET PRICE,"BLACKGRAM MARKET PRICE; MINIMUM-6700, MAXIMUM-6900 AVERAGE-6800 RS PER QUINTAL"
AP HORTICULTURE TOLL FREE CONTACT,AP HORTICULTURE TOLL FREE CONTACT  : 18004252960
cotton market information,"KURNOOL
adoni
757.2	Kapas (Adoni)	Tonnes	4519	6055"
weather report:,weather report:THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
WEATHER REPORT,today there is no chance of rain fall in your area
weather report:,weather report:THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
MANAGEMENT OF GROUNDNUT APHID,RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITRES OF WATER /ACRE
weather report,no rain your area cloudy weather occur
recommended to treat with manaqgement,recommended to tret with tricoderma viride 10 gram /kg seeds
weather  report,today rain is not likely to occur in your area
GREENGRAM NUTRIENT MANAGEMENT,recommended to  spray potassium nitrate 5 grams/litre water
CAULIFLOWER NUTRIENT MANAGEMENT,CAULIFLOWER NUTRIENT MANAGEMENT: RECOMMENDED TO SPRAY AGRIMINIMAX 5 GRAM PER LITRE WATER
weather report,no rain your area cloudy weather occur
WEATHER REPORT,Mostly cloudy with a shower in places
early blight in tomato,RECOMMENDED TO SPRAY   METIRAM+PYRACLOSTROBIN 600 GRAMS /200 LITRES OF WATER /ACRE
nutrient management in mango,RECOMMENDED TO SPRAY NAPHTHALENE ACETIC ACID 50 ML/ 200 LITERS OF WATER /ACRE
TOMATO EARLY BLIGHT MANAGEMENT,RECOMMENDED TO SPRAY MANCOZEB   600 GRAMS / 200 LITERS OF WATER / ACRE
weather report,TODAY A RAIN NOT  IS LIKELY TO TAKE PLACE IN YOUR AREA
cucumber micro nutrient deficiency,Recommended to spray   multi-k ( 13-0-45 ) 5gm   AND  MICRO NUTRIENT MIXTURE 5gm / lit of water
weather report,TODAY A RAIN NOT  IS LIKELY TO TAKE PLACE IN YOUR AREA
weather report,no rain your area cloudy weather occur
weather report,no rain your area cloudy weather occur
CHILLI SUCKING PESTS,CHILLI SUCKING PESTS: RECOMMENDED TO SPRAY DIFENTHURON 300 GRAM PER ACRE
weather report,today there is no chance of rain fall in your area
LEAF FOLDER IN GROUND NUT,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
CERCOSPERA LEAF SPOT MANAGEMENT IN BLACKGRAM,RECOMMENDED TO SPRAY COPPOR OXY CHLORIDE  600 GRAMS   /ACRE
market information,"eluru market 19/01/2017	0.1	Onion minimum and maximum 1400 rupees/quintol"
weather report,weather report:today rain is not likely to occur in your area
weather information,3 . A severe thunderstorm is likely to take place in your area.
CITRUS MICRONUTRIENT MANAGEMENT,CITRUS MICRONUTRIENT MANAGEMENT : Advised spraying of 5g ZnSO4 + 2g MgSO4 + 2g FeSO4 + 2g MnSO4 + 1g Borax + 6g lime + 10g urea 4 times in a year.
Ground nut sucking pest management,RECOMMENDED TO SPRAY MONOCROTOPHOS 400 ML /200 LITRES OF WATER /ACRE
Citrus citrus canker management,RECOMMENDED FOR 30 gr COPPOR OXY CHLORIDE AND 1 gr STREPTOCYCLIN  IN 10 ltr of WATER
RED GRAM MARKET INFORMATION,"RED GRAM MARKET INFORMATION  : kadiri
MINIMUM PRICE - 4500/- Rs/ QUINTAL  
MAXIMUM PRICE - 4500/- Rs/ QUINTAL"
ap horticulture toll free,ap horticulture toll free  : 1800-425-2960
weather report,Pleasant with brilliant sunshine
weather report,Pleasant with brilliant sunshine
GROWTH IN CHILLI,RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS/1 LITRE OF WATER
BLACK GRAM NUTRIENT DEFICIENCY MANAGEMENT,RECOMMENDED TO SPRAY 19-19-19 KG/ACRE
GRAM CATRER PILLAR MANAGEMENT,GRAM CATRER PILLAR MANAGEMENT : RECOMMENDED TO SPRAY DIMETHOATE  400 ML /200 LITRES OF WATER /ACRE
weather report,no rain sunny
WEATHER REPORT,. Mostly cloudy in your area
stem borer in paddy,RECOMMENDED TO APPLY CARBOFURAN 3 G  GRANULES  8-10 KG /ACRE
GROUNDNUT DRY ROOT ROT MANAGEMENT,GROUNDNUT DRY ROOT ROT MANAGEMENT : Advised to drench the plant base with COC  30 grams + streptocyclin 1 gram per 10 liters  of water
weather report,no rain your area cloudy weather occur
fruit rot in chilli,Recommended fort spray   PROPICONAZOLE IN 200 LITER WATER
market price for cotton,market price for cotton per quintal was around 2200 to 5600 rupees
BEHNDI VARIETIES,BEHNDI VARIETIES: PRABANI KRANTHI
WEATHER REPORT,WEATHER REPORT : MOSTLY CLOUDY AND SUNNY WEATHER IN YOUR AREA
weather report,today there is no chance of rain fall in your area
CITRUS APHIDS,CITRUS APHIDS : recommended to spray dimethoate 400 ml per acre
FERTILIZER MANAGEMENT IN CHILLI,Recommended to spray 13-0-45  1 KG / ACRE IN 200 LT WATER
WEATHER REPORT,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
musk melon varieties,"musk melon varieties : white flesh varieties: arka rajahans, arka jeeth, orange flesh : pusa sharbathi, pusa madhuras, puna sunaheri,  green flesh: hara madhu, durgapura madhu are suitable."
rice blast,Recommended to spray  Tricyclazole 18 % + Mancozeb 62 % WP (MERGER) 400 GRAM / ACRE IN 200 LT WATER
REDGRAM MARKET RATE,REDGRAM MARKET RATE:MINIMUM PRICE 4900 MAXIMUM PRICE  5010
WATERMELON VARIETIES,"WATERMELON VARIETIES : ASAHI YAMATA, SUGAR BABY, ARKA JYOTHI, ARKA MAINK, DURGAPUR KESAR, DURGAPUR META ARE SUITABLE AND Informed that watermelon can be sown from Dec 2nd week to Jan first week. Also Advised to follow 2-2. 5 m x 30-50 cm spacing with irrigation canal of 60cm."
KHEERA VARIETIES,"KHEERA VARIETIES : Himangi, Phule Shubhangi, Phule Prachi, Sheetal, Phule Champa, SEED RATE: The seed rate is 2.5 to 4 kg/ha., Sowing Time:The cucumber is cultivated both as a summer and rainy season crop and the seed is sown according to type of crop.Summer Crop : January to February.Rainy crop: June-July.The seed of cucumber is sown in April in the hills."
KHEERA VARIETIES,"KHEERA VARIETIES : Himangi, Phule Shubhangi, Phule Prachi, Sheetal, Phule Champa, SEED RATE: The seed rate is 2.5 to 4 kg/ha., Sowing Time:The cucumber is cultivated both as a summer and rainy season crop and the seed is sown according to type of crop.Summer Crop : January to February.Rainy crop: June-July.The seed of cucumber is sown in April in the hills."
sucking pests management in tomato,RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITERS OF WATER /ACRE
weather report,today there is no chance of rain fall in your area
weather report,today rain is not likely to occur in your area
chilli whitefly control,???????? ??????   RECOMMENDED TO SPRAY  ACETAMIPRID + FIPRONIL 400 ML / 200 LITRES OF WATER /ACRE
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
management of chilli powder mildew,RECOMMENDED TO SPRAY WETTABLE SULPHUR  600 GRAMS/200 LITRES OF WATER / ACRE
VETERINARY contact number,VETERINARY contact number  8790997453
weather report,no rain your area cloudy weather occur
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
weather report,weather report : TODAY RAIN IS NOT OCCUR IN YOUR AREA
weed management in maize,RECOMMENDED TO SPRAY ATRAZINE 800 GRAMS PER ACRE
